,,Ganapati pooja,Shiv pooja / Rudrabhishek,Satyanarayan pooja,Randal na lota,NavChandi yagna,New home Kumbh sthapan,Vastu pooja,Gayatri Yagna,Boy mrg,Girl mrg,Dharamraja vrat,Shraddh pooja,Pret bali pooja,New shop pooja,New land pooja,New Vehicle pooja,Grah shanti pooja,Garud puran
Coconut watered, પાણીવાળું નાળિયેર (Pani valu Naliyer),2,1,2,5,10,1,6,3,5,10,3,5,5,2,2,1,5,2
Coconut without water, કોરું નાળિયેર (Koru Naliyer),,,,,1,,1,1,,,,,,,,,1,
Kanku, કંકુ (Kanku) ,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Gulal, ગુલાલ (Gulal) ,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Abel, અબીલ (Abil) ,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Sakar, સાકર (Sakar) ,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Drax,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Common dry fruits, સુકા મેવા (Suka Meva),250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Supari, સોપારી (Sopari) ,0.2,0.2,0.2,0.7,1,0.1,1,0.25,0.2,0.5,0.25,0.5,0.25,0.2,0.2,0.1,0.7,0.2
Taj, તજ (Taj) ,50,50,50,50,100,50,100,50,50,50,50,100,50,20,20,20,50,25
Lavang, લવિંગ (Laving) ,50,50,50,50,100,50,100,50,50,50,50,100,50,20,20,20,50,25
Elichi, એલચી (Elachi) ,50,50,50,50,100,50,100,50,50,50,50,100,50,20,20,20,50,25
Nadachadi thread, નાડાછડી (Nadachhadi) ,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1
Agarbatti, અગરબત્તી (Agarbatti) ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Topra na vatka, કોપરાના વાટકા (Kopra na Vatka) ,2,1,2,5,10,1,6,3,5,10,3,5,5,2,2,1,5,2
